@relation 'raw_new-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-7,9-18,20-21,23-36,38-39,41-43,45-73,75-76,78-80-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R1'

@attribute MET numeric
@attribute INSUL numeric
@attribute TAAV numeric
@attribute VELAV numeric
@attribute RH numeric
@attribute dayav_ta numeric
@attribute dayav_rh numeric

@data
?,?,?,?,?,?,?
1,0.682944,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.7842,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.682944,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.682944,26,?,60,27.555556,81.55
1,0.682944,26,?,60,27.555556,81.55
1,0.682944,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.7842,26,?,60,27.555556,81.55
1,0.682944,26,?,60,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.7842,24,?,64,27.555556,81.55
1,0.7842,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.7842,24,?,64,27.555556,81.55
1,0.7842,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.682944,24,?,64,27.555556,81.55
1,0.7842,24,?,64,27.555556,81.55
1,0.7842,24,?,67,27.555556,81.55
1,0.7842,24,?,67,27.555556,81.55
1,0.682944,24,?,67,27.555556,81.55
1,0.7842,24,?,67,27.555556,81.55
1,0.682944,24,?,67,27.555556,81.55
1,0.7842,24,?,67,27.555556,81.55
1,0.682944,24,?,67,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,26,?,62,27.555556,81.55
1,0.682944,26,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.7842,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.682944,24,?,62,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.7842,25,?,61,27.555556,81.55
1,0.682944,25,?,61,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.7842,25,?,63,27.555556,81.55
1,0.682944,23,?,61,27.555556,81.55
1,0.682944,23,?,61,27.555556,81.55
1,0.682944,23,?,64,27.555556,81.55
1,0.682944,23,?,64,27.555556,81.55
1,0.682944,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.682944,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.682944,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.7842,26,?,63,27.555556,81.55
1,0.682944,26,?,63,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,26,?,61,27.555556,81.55
1,0.682944,27,?,56,27.555556,81.55
1,0.682944,26,?,56,27.555556,81.55
1,0.7842,28,?,55,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,24,?,57,27.555556,81.55
1,0.682944,24,?,57,27.555556,81.55
1,0.682944,25,?,59,27.555556,81.55
1,0.682944,26,?,57,27.555556,81.55
1,0.682944,27,?,57,27.555556,81.55
1,0.682944,27,?,57,27.555556,81.55
1,0.7842,27,?,57,27.555556,81.55
1,0.682944,28,?,54,27.555556,81.55
1,0.7842,28,?,54,27.555556,81.55
1,0.682944,30,?,52,27.555556,81.55
1,0.7842,30,?,52,27.555556,81.55
1,0.7842,30,?,52,27.555556,81.55
1,0.682944,30,?,52,27.555556,81.55
1,0.7842,26,?,53,27.555556,81.55
1,0.7842,26,?,53,27.555556,81.55
1,0.682944,30,?,52,27.555556,81.55
1,0.682944,26,?,53,27.555556,81.55
1,0.682944,26,?,53,27.555556,81.55
1,0.682944,27,?,52,27.555556,81.55
1,0.682944,27,?,53,27.555556,81.55
1,0.7842,28,?,55,27.555556,81.55
1,0.682944,28,?,55,27.555556,81.55
1,0.682944,28,?,55,27.555556,81.55
1,0.682944,28,?,55,27.555556,81.55
1,0.7842,27,?,55,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.7842,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.7842,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,28,?,56,27.555556,81.55
1,0.682944,27,?,58,27.555556,81.55
1,0.682944,27,?,58,27.555556,81.55
1,0.682944,27,?,58,27.555556,81.55
1,0.682944,27,?,58,27.555556,81.55
1,0.682944,27,?,58,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.682944,28,?,58,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.9956,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,60,27.555556,81.55
1,0.922016,28,?,59,27.555556,81.55
1,0.9956,28,?,59,27.555556,81.55
1,0.922016,29,?,60,27.555556,81.55
1,0.922016,29,?,60,27.555556,81.55
1,0.9956,29,?,60,27.555556,81.55
1,0.922016,29,?,59,27.555556,81.55
1,0.922016,29,?,59,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.7842,29,?,52,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.682944,29,?,52,27.555556,81.55
1,0.7842,29,?,55,27.555556,81.55
1,0.682944,29,?,55,27.555556,81.55
1,0.7842,29,?,55,27.555556,81.55
1,0.682944,29,?,55,27.555556,81.55
1,0.682944,29,?,55,27.555556,81.55
1,0.682944,29,?,55,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.7842,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.682944,28,?,70,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.7842,28,?,67,27.555556,81.55
1,0.682944,28,?,67,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.7842,29,?,68,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.7842,29,?,68,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.682944,29,?,68,27.555556,81.55
1,0.7842,29,?,68,27.555556,81.55
1,0.682944,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.682944,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.682944,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.7842,26,?,66,27.555556,81.55
1,0.682944,26,?,66,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
