@relation lili-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute temperature numeric
@attribute humidity numeric
@attribute 'thermal sensation' {-3,-2,-1,0,1,2,3}
@attribute skin numeric
@attribute clothing numeric

@data
-1.785714,-0.457604,-1,-2.04924,21.7
-1.812771,-0.314042,-1,?,?
-1.812771,-0.251234,-1,-1.682556,22.4
-1.488095,-0.358905,0,?,?
-0.135281,-0.699865,1,-0.739654,26.9
0.649351,-0.978017,2,?,?
0.757576,-0.888291,2,0.203248,27.8
0.730519,-1.040825,2,?,?
0.784632,-1.040825,2,-0.058669,28.4
0.865801,-0.834455,2,?,?
1.028139,-0.978017,2,0.622315,28.7
1.082251,-1.02288,2,?,?
1.271645,-1.130552,2,0.831849,29.7
1.37987,-1.166442,2,?,?
1.433983,-1.202333,2,1.250917,30.7
1.325758,-1.15747,1,?,?
1.109307,-1.094661,0,0.674699,29.2
0.676407,-1.058771,0,?,?
0.351732,-0.888291,0,0.831849,28.2
0.108225,-0.834455,0,?,?
0,-0.771646,0,0.150864,26.5
-0.135281,-0.870345,0,?,?
-0.378788,-0.924181,0,-0.111053,25.1
-0.459957,-0.933154,0,?,?
-0.487013,-1.381786,0,-0.21582,25
-0.459957,-1.417676,0,?,?
-0.405844,-1.453567,0,-0.111053,24.7
-0.4329,-1.471512,0,?,?
-0.4329,-1.417676,0,-0.163436,25.3
-0.4329,-1.36384,0,?,?
-0.405844,-1.318977,0,-0.006286,25.6
-0.351732,-1.283087,0,?,?
-0.351732,-1.166442,0,-0.21582,26.1
-0.324675,-1.803499,0,?,?
0.703463,-1.318977,1,0.622315,28.6
1.190476,-1.444594,2,?,?
1.515152,-1.49843,3,0.884233,30.4
1.352814,-1.480485,2,?,?
1.082251,-1.444594,2,0.831849,29
0.865801,-1.32795,1,?,?
0.784632,-1.336922,1,0.936616,28.8
0.730519,-1.310004,1,?,?
0.676407,-1.292059,1,0.622315,28.5
0.649351,-1.292059,1,?,?
0.595238,-1.256169,1,0.831849,28.4
0.595238,-1.256169,1,?,?
0.541126,-1.615074,0,0.569932,28.2
0.4329,-1.695828,0,?,?
0.324675,-1.7048,0,0.622315,26.9
0.297619,-1.767609,0,?,?
0.270563,-1.848362,0,0.517548,26.9
0.21645,-1.722746,0,?,?
0.162338,-1.615074,0,0.517548,26.6
0.108225,-1.525348,0,?,?
0.081169,-1.516375,0,0.203248,25.9
-1.271645,-0.744729,0,?,?
-1.271645,-0.771646,0,?,?
-1.271645,-0.762674,0,-0.844421,23.1
-1.298701,-0.744729,0,?,?
-1.298701,-0.726783,0,-0.634887,22.9
-1.325758,-0.717811,0,?,?
-1.325758,-0.690893,0,-1.263489,22.5
-1.298701,-0.655002,0,?,?
-1.109307,-0.708838,0,-1.053955,24
-0.974026,-0.708838,0,?,?
-0.676407,-0.789592,0,-0.53012,25
-0.405844,-0.897263,0,?,?
-0.243506,-0.960072,0,0.308015,26.5
-0.162338,-0.969044,0,?,?
-0.081169,-1.013908,1,-0.21582,25.9
0.027056,-0.978017,1,?,?
0.324675,-1.094661,1,0.046097,26.9
0.459957,-1.15747,1,?,?
0.568182,-1.175415,1,0.150864,27.1
0.676407,-1.220278,2,?,?
0.892857,-1.238223,2,?,?
0.94697,-1.256169,2,0.988999,29.3
0.892857,-1.238223,2,?,?
0.974026,-1.247196,3,0.884233,29.6
1.217532,-1.247196,3,?,?
1.136364,-1.211306,3,0.884233,29.8
0.974026,-1.211306,3,?,?
0.568182,-1.130552,2,0.308015,28.8
0.351732,-1.040825,2,?,?
0.243506,-0.960072,1,0.884233,28.7
0.027056,-0.960072,1,?,?
-0.405844,-0.951099,1,-0.21582,25.6
-0.622294,-0.924181,0,?,?
-0.838745,-0.969044,0,-0.53012,25
-1.704545,-0.242261,0,?,?
-1.704545,-0.224316,0,-1.89209,24.1
-1.677489,-0.206371,0,?,?
-1.190476,-0.314042,0,-1.368256,23.8
-1.028139,-0.367878,0,?,?
-0.919913,-0.394796,0,-1.158722,23.9
-0.568182,-0.610139,0,?,?
-0.054113,-0.771646,0,-0.37297,26.5
0.4329,-0.960072,0,?,?
0.649351,-1.031853,0,0.046097,27.7
0.865801,-1.076716,1,?,?
1.028139,-1.148497,1,0.465165,28.5
1.190476,-1.19336,1,?,?
1.325758,-1.211306,2,0.622315,28.8
1.488095,-1.247196,2,?,?
0.974026,-1.166442,1,0.517548,27.1
0.351732,-0.933154,0,?,?
-0.757576,-0.708838,0,?,?
-0.811688,-0.699865,0,?,?
-0.865801,-0.655002,0,?,?
-0.892857,-0.619112,0,-1.001572,25.1
-0.865801,-0.574249,0,?,?
-0.541126,-0.583221,0,-0.477737,26
-0.270563,-0.663975,0,?,?
-0.108225,-0.744729,0,-0.111053,27.3
0.135281,-0.834455,1,?,?
0.703463,-1.040825,1,0.465165,28.9
0.838745,-1.103634,1,?,?
1.001082,-1.103634,2,0.779466,29.8
1.082251,-1.112607,2,?,?
1.109307,-1.166442,2,0.727082,30
1.190476,-1.166442,2,?,?
0.405844,-1.013908,0,?,?
0.270563,-0.933154,0,0.779466,28.2
0.162338,-0.969044,0,?,?
0.108225,-1.040825,0,1.093766,29
-1.352814,0.8524,0,?,?
-1.298701,0.744729,0,-1.368256,23.9
-1.271645,0.744729,0,?,?
-1.244589,0.744729,0,-1.211105,24.2
-1.028139,0.592194,0,-0.896805,24.2
-0.865801,0.547331,0,?,?
-0.568182,0.179453,0,-0.425354,25.4
-0.459957,0.13459,0,?,?
-0.459957,0.116644,0,-0.21582,25.8
-0.324675,0.026918,0,?,?
-0.162338,0,0,0.150864,26
0.135281,-0.188425,0,?,?
0.351732,-0.314042,0,-0.006286,28.2
0.568182,-0.412741,0,?,?
0.730519,-0.349933,1,0.674699,29.3
0.838745,-0.520413,1,?,?
0.919913,-0.547331,1,0.727082,29.1
1.055195,-0.619112,2,?,?
1.16342,-0.637057,2,0.988999,30
1.271645,-0.690893,2,?,?
1.325758,-0.628084,2,0.936616,29.9
1.136364,-0.547331,1,?,?
0.94697,-0.529385,1,0.674699,29.7
0.811688,-0.457604,0,?,?
0.568182,-0.376851,0,0.569932,28
0.324675,-0.323015,0,?,?
0.189394,-0.179453,0,0.150864,27.2
0.135281,-0.179453,0,?,?
0.027056,-0.152535,0,?,?
1.59632,-0.870345,3,?,?
1.515152,-0.807537,1,0.727082,30
0.94697,-0.637057,0,?,?
0.676407,-0.439659,0,?,?
0.514069,-0.385823,0,1.14615,29.6
0.4329,-0.314042,0,?,?
0.4329,-0.314042,0,0.255631,29.8
0.405844,-0.251234,0,?,?
0,-0.394796,0,0.203248,28.4
0,-0.053836,0,?,?
0.162338,-0.080754,0,0.203248,29.3
0.270563,-0.107672,0,?,?
0.189394,-0.331987,0,0.308015,28.3
-0.21645,-0.47555,-1,?,?
-0.4329,-0.583221,-1,?,?
-0.676407,-0.672948,-2,?,?
-0.811688,-0.708838,-2,-0.477737,25.4
-0.730519,-0.735756,-2,?,?
-1.136364,-0.637057,-2,-0.21582,26.5
-1.352814,-0.538358,-3,?,?
-1.433983,-0.619112,-3,-0.634887,26
-1.488095,-0.619112,-3,?,?
-0.865801,1.794527,0,?,?
-0.811688,1.633019,0,-0.634887,24.5
-0.784632,1.588156,0,?,?
-0.730519,1.507402,0,?,?
-0.730519,1.49843,0,-0.21582,26.5
-0.622294,1.453567,0,?,?
-0.135281,1.202333,0,?,?
0.189394,0.995962,0,0.360398,27.1
0.351732,0.888291,0,?,?
0.487013,0.798564,0,?,?
0.757576,0.610139,1,0.988999,28.4
1.055195,0.457604,1,?,?
1.190476,0.349933,1,1.093766,30.2
1.271645,0.251234,1,?,?
1.406926,0.152535,1,1.14615,29.7
1.515152,0.035891,2,?,?
1.623377,-0.053836,2,1.3033,31.2
1.704545,-0.161507,2,?,?
1.785714,-0.224316,2,1.408067,31.1
1.812771,-0.30507,2,?,?
1.59632,-0.17048,1,1.198533,30.1
1.352814,-0.035891,1,?,?
1.055195,0.062808,0,0.988999,29.7
0.838745,0.206371,0,0.831849,28.3
0.730519,0.278152,0,?,?
0.676407,0.242261,0,1.355684,28.7
-1.812771,0.035891,-2,-1.630173,22.3
-1.893939,-0.080754,-2,?,?
-2.002165,-0.125617,-2,-1.787323,21.7
-2.083333,-0.143562,-2,?,?
-2.245671,-0.17048,-2,-2.206391,20
-2.002165,0.125617,-2,?,?
-1.650433,0.502467,-1,-1.053955,24.9
-1.461039,0.807537,-1,?,?
-1.352814,0.780619,-1,-1.420639,23.7
-1.569264,1.094661,-1,?,?
-1.352814,1.058771,-1,-1.473023,24.4
-1.217532,1.040825,-1,?,?
-1.136364,1.031853,0,-0.739654,25
-1.109307,1.013908,0,?,?
-1.055195,0.995962,0,-0.896805,26.4
-1.028139,1.058771,0,?,?
-0.974026,1.004935,0,-1.001572,24.4
-0.974026,1.013908,0,?,?
-0.94697,1.031853,0,-0.792038,26.3
-0.94697,0.978017,0,?,?
-0.94697,0.969044,0,-0.687271,23.5
-0.94697,0.969044,0,?,?
-0.811688,0.942127,0,-0.21582,25.1
-0.595238,0.843428,0,?,?
-0.459957,0.68192,0,-0.058669,27.1
-0.351732,0.610139,0,?,?
-0.135281,0.448632,0,0.203248,27.1
0.108225,0.331987,0,?,?
0.270563,0.269179,1,0.308015,27.5
0.405844,0.242261,1,?,?
0.459957,0.179453,1,0.988999,29.6
0.676407,0.008973,1,?,?
0.838745,-0.062808,2,0.831849,30
0.974026,-0.071781,2,?,?
1.082251,-0.107672,2,1.14615,30.6
1.190476,-0.197398,2,?,?
1.271645,-0.242261,2,1.093766,29.9
1.352814,-0.233288,2,?,?
1.37987,-0.269179,3,1.250917,30.5
1.433983,-0.251234,3,?,?
1.136364,-0.215343,2,0.517548,30.2
0.865801,-0.044863,1,?,?
0.730519,0.035891,1,0.988999,29.9
0.676407,0.080754,1,?,?
0.459957,0.179453,1,0.517548,28.7
0.270563,0.331987,1,?,?
0.135281,0.484522,1,?,?
0.054113,0.547331,1,?,?
-0.054113,0.771646,1,?,?
-0.838745,2.198295,0,?,?
-0.351732,1.821445,0,0.098481,28
0.378788,1.220278,0,?,?
0.676407,1.076716,1,0.569932,30.1
0.974026,0.861373,1,?,?
1.16342,0.717811,1,?,?
1.325758,0.807537,1,0.779466,29.4
1.488095,0.574249,1,?,?
1.569264,0.520413,2,1.3033,31.6
1.704545,0.367878,2,1.198533,31.9
1.433983,0.574249,2,?,?
1.244589,0.655002,3,0.884233,30.9
1.082251,0.762674,3,?,?
1.001082,0.807537,2,1.3033,30.7
0.974026,0.879318,2,?,?
0.865801,0.8524,2,0.936616,29.8
0.649351,0.98699,2,?,?
0.378788,1.130552,1,0.412782,29.1
0.270563,1.175415,1,?,?
0.108225,1.292059,0,0.412782,28.6
0.054113,1.310004,0,?,?
-0.081169,1.15747,0,-0.268203,26.1
-0.757576,1.004935,0,?,?
-0.838745,1.399731,0,-1.053955,25.8
-0.676407,1.606101,0,?,?
-0.757576,1.345895,0,?,?
-1.244589,1.049798,-1,?,?
-1.488095,0.834455,-1,-1.473023,23.1
-1.433983,1.130552,-2,?,?
-1.433983,0.969044,-2,-1.473023,24.2
-1.217532,2.593091,-1,?,?
-1.190476,2.593091,-1,?,?
-1.190476,2.566173,-1,-1.368256,25.4
-1.136364,2.503365,-1,?,?
-1.109307,2.539255,-1,-1.263489,25.6
-0.838745,2.21624,-1,?,?
-0.459957,1.812472,-1,-0.53012,27
-0.21645,1.686855,0,?,?
-0.054113,1.453567,0,-0.163436,28
0.027056,1.372813,0,?,?
0.135281,1.301032,0,0.150864,28.8
0.297619,1.220278,1,?,?
0.568182,1.058771,1,0.674699,30.1
0.649351,0.995962,1,?,?
0.757576,0.969044,2,0.360398,29.2
1.001082,0.798564,2,?,?
1.298701,0.610139,2,0.622315,31.7
1.433983,0.493495,2,?,?
1.488095,0.448632,2,0.936616,31.2
1.406926,0.574249,1,?,?
1.16342,0.753701,1,0.831849,30.3
1.136364,0.68192,1,?,?
0.730519,0.807537,1,1.408067,30.2
0.405844,1.049798,0,?,?
0.243506,1.15747,0,0.203248,27.9
0,1.32795,0,?,?
-0.676407,1.821445,0,?,?
-0.676407,1.7048,0,-0.687271,26.5
-0.622294,1.695828,0,?,?
-0.649351,1.7048,0,-0.687271,26.5
-0.487013,1.686855,0,?,?
-0.270563,1.453567,0,-0.37297,27
-0.054113,1.444594,0,?,?
0.21645,1.229251,0,-0.006286,27.8
0.405844,1.121579,0,?,?
0.514069,1.004935,0,?,?
0.676407,0.888291,1,?,?
0.865801,0.780619,1,0.622315,29.4
1.001082,0.717811,1,?,?
1.136364,0.64603,2,?,?
1.271645,0.583221,2,?,?
1.488095,0.466577,3,1.041383,31.2
1.623377,0.394796,3,?,?
1.461039,0.493495,3,1.3033,31.7
1.298701,0.672948,3,?,?
1.271645,0.628084,3,1.250917,31.1
1.082251,0.663975,2,?,?
0.919913,0.807537,2,0.988999,30.1
0.811688,0.834455,1,?,?
0.541126,0.951099,1,1.041383,29.4
0.378788,1.040825,1,?,?
0.270563,1.121579,1,0.779466,27.7
0.135281,1.32795,0,?,?
-0.378788,1.265141,0,-0.320587,26.3
-0.459957,1.803499,0,?,?
-0.4329,1.884253,0,?,?
-0.405844,1.965007,0,0.046097,26.9
-0.541126,1.570211,0,?,?
-0.919913,1.175415,-1,-0.634887,25.2
-1.271645,0.942127,-1,?,?
-1.433983,0.8524,-1,-1.211105,25
-1.59632,0.68192,-1,?,?
-2.137446,0.367878,0,-2.573075,18.3
-2.245671,0.699865,-1,-2.154007,19.3
-2.597403,0.933154,-2,-2.782609,18.8
-2.435065,1.040825,-2,-2.415925,20.8
-2.272727,1.139524,-2,-3.306443,20.5
-2.137446,0.995962,-2,-2.101624,22.1
-2.029221,0.915209,-1,-2.415925,21.6
-2.002165,0.807537,-1,-2.04924,22.4
-1.515152,0.735756,-1,?,?
-1.352814,0.628084,-1,?,?
-1.082251,0.403769,0,?,?
-0.919913,0.430686,0,?,?
-0.730519,0.421714,0,-0.739654,24.1
-0.405844,0.188425,0,-0.163436,26.1
-0.270563,-0.188425,0,0.255631,6.2
0.135281,-0.260206,0,0.569932,26.7
0.270563,-0.556303,1,?,?
0.4329,-0.583221,1,?,?
0.595238,-0.610139,2,0.622315,27.4
