,BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
238,1.0,1.0,0,0,1986.0,196.0,0,-3,1,0,0,0,0,0,0,0,0,0,0.9897610920000001,0.30653,0.15,0.45653,0,18.3,0,0,0,0,19.2,0,0,0.01,0,0,0,0,18.3,19.2393382,18.7696691,0.01,0,0,0.802,35.6,18.9,17.4,-0.67,-0.67,-3.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,25.0,28.05,67.0,95.0,81.0,32.1,25.6,28.9
239,1.0,328.0,0,1,1986.0,234.0,0,3,2,0,0,0,0,0,0,0,0,0,1.9795221840000001,0.78218,0.15,0.93218,0,26.8,0,0,0,0,27.2,0,0,0.65,0,0,0,0,26.8,27.30583288,26.75291644,0.65,0,0,2.612,74.1,27.1,28.7,0.63,1.07,1.36,0.99,0,0.985394911,0,0.985394911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,25.0,28.05,67.0,95.0,81.0,33.5,28.7,31.1
0,3.0,123.0,31.0,0.0,1983.0,6.0,1000.0,0,2.0,,1,,,,1.058020478,1.058020478,1.9795221840000001,1.774744027,1.4675767919999998,0.6798,0.15,0.83,,23.2,,17.7,,,23.9,,,0.15,,,,,23.2,24.83,24.0,0.15,,,1.656872126,58.290535999999996,24.2,27.3,0.34,0.58,0.66,0.14,,0.14,,0.14,,1.3,,0.0,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,
1,1.0,67.0,31.0,0.0,1983.0,9.0,1050.0,1,2.0,,1,,,,1.126279863,1.126279863,1.058020478,1.058020478,1.092150171,0.51912,0.15,0.67,,25.3,,19.6,,,24.7,,,0.21,,,,,25.3,23.71,24.5,0.21,,,1.8993118530000002,58.91374493,24.6,24.7,-0.03,-0.03,-0.08,0.05,,0.17,,0.17,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
2,1.0,22.0,24.0,1.0,1983.0,348.0,1020.0,0,2.0,,2,,,,1.058020478,1.058020478,1.058020478,1.058020478,1.058020478,0.67828,0.15,0.83,,24.6,,17.3,,,24.4,,,0.11,,,,,24.6,24.17,24.4,0.11,,,1.486283925,48.06770535,24.3,26.0,0.09,0.16,0.23,0.06,,0.08,,0.08,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.8,19.7,23.25
3,1.0,10.0,38.0,0.0,1983.0,348.0,1045.0,-0.5,2.0,,2,,,,1.058020478,1.058020478,1.058020478,1.058020478,1.058020478,0.5314800000000001,0.15,0.68,,24.6,,17.3,,,24.4,,,0.09,,,,,24.6,24.2,24.4,0.09,,,1.486283925,48.06770535,24.4,24.9,-0.03,-0.03,0.01,0.05,,0.06,,0.06,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.7,19.7,23.2
4,1.0,3.0,38.0,0.0,1983.0,348.0,1130.0,0.1,2.0,,2,,,,1.092150171,1.9795221840000001,1.9795221840000001,1.092150171,1.535836177,0.76632,0.15,0.92,,24.6,,17.3,,,24.5,,,0.12,,,,,24.6,24.38,24.5,0.12,,,1.486283925,48.06770535,24.4,28.3,0.52,0.84,0.85,0.2,,0.09,,0.09,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.9,20,23.45
5,1.0,20.0,38.0,0.0,1983.0,348.0,1420.0,0.6,2.0,,2,,,,1.126279863,1.126279863,1.126279863,1.126279863,1.126279863,0.76632,0.15,0.92,,24.0,,17.2,,,23.8,,,0.12,,,,,24.0,23.56,23.8,0.12,,,1.50717567,50.52828616,23.8,26.1,0.1,0.19,0.2,0.06,,0.09,,0.09,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.8,19.7,23.25
6,1.0,2.0,60.0,0.0,1983.0,348.0,1500.0,-0.5,2.0,,2,,,,1.092150171,1.194539249,1.194539249,1.194539249,1.16894198,0.618,0.15,0.77,,24.0,,17.2,,,23.8,,,0.1,,,,,24.0,23.59,23.8,0.1,,,1.50717567,50.52828616,23.8,25.4,0.0,0.0,0.21,0.06,,0.07,,0.07,,1.3,,0.0,,,0.0,1.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.8,19.7,23.25
7,1.0,32.0,31.0,0.0,1983.0,348.0,1530.0,0,2.0,,2,,,,1.126279863,1.126279863,1.126279863,1.126279863,1.126279863,0.51912,0.15,0.67,,24.0,,17.3,,,24.2,,,0.12,,,,,24.0,24.43,24.2,0.12,,,1.526303925,51.16956375,24.2,24.7,-0.04,-0.04,-0.11,0.05,,0.09,,0.09,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,,,26.6,19.4,23,53.86631952,80.57510728,67.2207134,26.7,19.7,23.2
